bad_city,lat,lon
Валки,49.5019,35.3718
Великие Луки,56.2100,30.3100
Волчанск,50.1717,36.5646
Горохов,50.2958,24.4554
Горское,48.4431,38.2937
Токмак,47.1505,35.4221
Бар,49.0441,27.4059
Остров,57.2000,28.2100
Валки,49.5019,35.3718
Ломоносово,64.1351,41.4325
Красногоровка,48.00,37.31
Старый Самбор,49.26,23.00
Кропоткин,45.2600,40.3400
Изюм,49.1326,37.1729
Новгород-Северский,51.59,33.16
Знаменка,48.4249,32.4024
Малин,50.4608,29.1612
Борислав,49.1721,23.2508
Рава-Русская,50.1314,23.3721
Кулагино,51.5317,53.3903
Белгород-Днестровский,46.11,30.20
Озерск,54.2500,22.0100
Каменец-Подольский,48.4050,26.3450
Кривой Рог,47.5431,33.2036
Новый Оскол,50.4600,37.5200
Панкратово,47.5145,31.0908
Добровольск,54.46,22.30
Сууре-Яани,58.32,25.28
Дмитровск-Орловский,52.3020,35.0829
Калинин,56.5128,35.5518
Новоукраинка,48.1856,31.3137
Никополь,47.3438,34.2127
Белогорск,45.0316,34.3608
Нестеров,54.3800,22.3400
Дружба,52.0252,33.5623
Калиновка,49.2650,28.3123
Марганец,47.3853,34.3700
Щорс,51.49,31.57
Макаров,50.28,29.49
Гусев,54.3500,22.1200
Старый Крым,45.0145,35.0519
Армавир,45.0000,41.0700
Тапа,59.16,25.57
Жиздра,53.4501,34.4410
Донской,53.5800,38.1900
Ясное,55.11,21.33
Изяслав,50.07,26.48
Новомосковск,54.0200,38.1600
Зимовники,47.0842,42.2800
Каменск-Шахтинский,48.1900,40.1600
Серафимович,49.3500,42.4400
Истра,55.5500,36.5200
Горохов,50.2958,24.4554
Красный Лиман,48.59,37.4850
Тюри,58.48,25.25
Хмельницкий,49.2512,27.0000
Золочев,49.4833,24.5402
Корсунь-Шевченковский,49.2534,31.1650
Ефремов,53.0857,38.0457
Анива,46.43,142.31
Рогатин,49.25,24.37
Кудиркос-Науместис,54.4630,22.5200
Каменка-Бугская,50.0629,24.2044
Новоэкономическое,48.1940,37.1955
Западная Двина,56.1600,32.0500
Сороки,48.0921,28.1751
Вашковцы,48.2231,25.2952
Михайлов,54.1400,39.0200
Синди,58.2402,24.4003
Гурьевск,54.4600,20.3600
Ветка,52.3333,31.1051
Петрокрепость,59.5739,31.0143
Борисов,54.14,28.30
Ананьев,47.4302,29.5832
Владимир-Волынский,50.5053,24.1920
Старица,56.3100,34.5600
Галич,58.23,42.21
Павловск,59.41,30.26
Крылово,54.2050,21.3320
Северо-Курильск,50.40,156.07
Ростов-на-Дону,47.1426,39.4238
Килинги-Нымме,58.09,24.58
Острог,50.20,26.31
Береза,52.33,24.58
Чекалин,54.06,36.15
Красный Сулин,47.5300,40.0400
Тростянец,50.2830,34.5818
Наро-Фоминск,55.2300,36.4400
Великие Мосты,50.1424,24.0822
Старая Русса,57.59,31.21
Пятихатки,48.2445,33.4212
Рудня,54.57,31.04
Турка,49.0916,23.0148
Дисна,55.3346,28.1333
Кагул,45.5427,28.1140
Пушкин,59.43,30.25
Спас-Деменск,54.2435,34.0108
Урицк,59.50,30.11
Красный Луч,48.0717,38.5643
Дмитриев-Льговский,52.0744,35.0432
Антрацит,48.07,39.05
Южно-Сахалинск,46.57,142.44
Малоархангельск,52.24,36.30
Стрый,49.15,23.51
Приморск,60.2158,28.3649
Клин,56.2002,36.4245
Новый Буг,47.41,32.30
Орел,52.58,36.05
Комарно,49.3750,23.4211
Мга,59.4527,31.0342
Красноармейск,56.0722,38.0846
Демидов,55.16,31.31
Высокое,52.22,23.22
Вапнярка,48.32,28.45
Белый,55.5000,32.5600
Жданов,50.4514,36.3109
Виноградов,48.0859,23.0130
Красное,46.3820,29.4930
Глубокое,55.08,27.41
Орехов,47.3404,35.4706
Рибшево,55.2547,32.0659
Богуслав,49.33,30.53
Чаплино,48.0738,36.1415
Малая Вишера,58.51,32.13
Любань,52.4756,27.5948
Часов Яр,48.34,37.50
Долина,48.5813,24.0039
Советск,55.05,21.53
Камень-Каширский,51.3727,24.5738
Починок,54.24,32.27
Новоград-Волынский,50.35,27.38
Могилев-Подольский,48.27,27.47
Дно,57.50,29.58
Горки,54.17,30.59
Торез,48.0124,38.3745
Басаргино,58.4827,40.1559
Корсаков,46.38,142.46
Знаменск,54.3700,21.1300
Углегорск,48.19,38.17
Старые Дороги,53.0222,28.1554










 




 









 









 




 













































