,city,status,date,lat,lon
0,Ауце,occupied,1941-06-27,56.46111,22.89417
1,Ауце,rescued,1944-08-09,56.46111,22.89417
2,Ауце,occupied,1944-08-25,56.46111,22.89417
3,Ауце,rescued,1944-10-28,56.46111,22.89417
4,Ахтырка,occupied,1941-10-15,50.30743182793,34.901558718752
5,Ахтырка,rescued,1943-02-23,50.30743182793,34.901558718752
6,Ахтырка,occupied,1943-03-11,50.30743182793,34.901558718752
7,Ахтырка,rescued,1943-08-25,50.30743182793,34.901558718752
8,Барвенково,occupied,1941-10-24,48.906666666667,37.013055555556
9,Барвенково,rescued,1942-01-23,48.906666666667,37.013055555556
10,Барвенково,occupied,1942-05-18,48.906666666667,37.013055555556
11,Барвенково,rescued,1943-02-06,48.906666666667,37.013055555556
12,Барвенково,occupied,1943-02-28,48.906666666667,37.013055555556
13,Барвенково,rescued,1943-09-10,48.906666666667,37.013055555556
14,Белгород,occupied,1941-10-24,50.6,36.6
15,Белгород,rescued,1943-02-09,50.6,36.6
16,Белгород,occupied,1943-03-18,50.6,36.6
17,Белгород,rescued,1943-08-05,50.6,36.6
18,Богодухов,occupied,1941-10-16,50.16083,35.51639
19,Богодухов,rescued,1943-02-17,50.16083,35.51639
20,Богодухов,occupied,1943-03-11,50.16083,35.51639
21,Богодухов,rescued,1943-08-07,50.16083,35.51639
22,Борщёв,occupied,1941-07-08,48.802385274006,26.040006814608
23,Борщёв,rescued,1944-03-23,48.802385274006,26.040006814608
24,Борщёв,occupied,1944-03-31,48.802385274006,26.040006814608
25,Борщёв,rescued,1944-04-06,48.802385274006,26.040006814608
26,Бучач,occupied,1941-07-05,49.064791704796,25.387276171375
27,Бучач,rescued,1944-03-24,49.064791704796,25.387276171375
28,Бучач,occupied,1944-04-06,49.064791704796,25.387276171375
29,Бучач,rescued,1944-07-21,49.064791704796,25.387276171375
30,Валки,occupied,1941-10-19,49.5019,35.3718
31,Валки,rescued,1943-02-25,49.5019,35.3718
32,Валки,occupied,1943-03-07,49.5019,35.3718
33,Валки,rescued,1943-09-16,49.5019,35.3718
34,Великие Луки,occupied,1941-07-19,56.21,30.31
35,Великие Луки,rescued,1941-07-21,56.21,30.31
36,Великие Луки,occupied,1941-08-25,56.21,30.31
37,Великие Луки,rescued,1943-01-17,56.21,30.31
39,Вилкавишкис,rescued,1944-08-02,54.66667,23.03333
40,Вилкавишкис,occupied,1944-08-09,54.66667,23.03333
41,Вилкавишкис,rescued,1944-08-17,54.66667,23.03333
42,Волчанск,occupied,1941-10-31,50.1717,36.5646
43,Волчанск,rescued,1941-11-12,50.1717,36.5646
44,Волчанск,occupied,1942-07-11,50.1717,36.5646
45,Волчанск,rescued,1943-02-09,50.1717,36.5646
46,Гадяч,occupied,1941-09-27,50.371080026273,33.989054884479
47,Гадяч,rescued,1943-02-26,50.371080026273,33.989054884479
48,Гадяч,occupied,1943-03-01,50.371080026273,33.989054884479
49,Гадяч,rescued,1943-09-11,50.371080026273,33.989054884479
50,Гайсин,occupied,1941-07-25,48.80944,29.39056
51,Гайсин,rescued,1943-11-18,48.80944,29.39056
52,Гайсин,occupied,1943-11-19,48.80944,29.39056
53,Гайсин,rescued,1944-03-14,48.80944,29.39056
54,Городенка,occupied,1941-07-05,48.6675,25.50028
55,Городенка,rescued,1944-03-25,48.6675,25.50028
56,Городенка,occupied,1941-07-10,48.6675,25.50028
57,Городенка,rescued,1943-12-24,48.6675,25.50028
58,Городенка,occupied,1941-06-30,48.6675,25.50028
59,Городенка,rescued,1944-07-27,48.6675,25.50028
60,Горохов,occupied,1941-06-24,50.2958,24.4554
61,Горохов,rescued,1944-04-02,50.2958,24.4554
62,Горохов,occupied,1944-04-06,50.2958,24.4554
63,Горохов,rescued,1944-07-13,50.2958,24.4554
64,Горское,occupied,1942-07-11,48.4431,38.2937
65,Горское,rescued,1943-02-08,48.4431,38.2937
66,Горское,occupied,1943-03-03,48.4431,38.2937
67,Горское,rescued,1943-09-03,48.4431,38.2937
68,Грайворон,occupied,1941-10-19,50.48333,35.66667
69,Грайворон,rescued,1943-02-16,50.48333,35.66667
70,Грайворон,occupied,1943-03-13,50.48333,35.66667
71,Грайворон,rescued,1943-08-07,50.48333,35.66667
72,Дорогобуж,occupied,1941-10-05,54.92,33.30778
73,Дорогобуж,rescued,1942-02-15,54.92,33.30778
74,Дорогобуж,occupied,1942-06-07,54.92,33.30778
75,Дорогобуж,rescued,1943-09-01,54.92,33.30778
76,Дружковка,occupied,1941-10-26,48.62028,37.52778
77,Дружковка,rescued,1943-02-06,48.62028,37.52778
78,Дружковка,occupied,1943-02-09,48.62028,37.52778
79,Дружковка,rescued,1943-09-06,48.62028,37.52778
80,Ельня,occupied,1941-07-19,54.56667,33.16667
