,city,occupied,rescued,lat,lon
0,Ауце,1941-06-27,1944-08-09,56.46111,22.89417
1,Ауце,1944-08-25,1944-10-28,56.46111,22.89417
2,Ахтырка,1941-10-15,1943-02-23,50.30743182793,34.901558718752
3,Ахтырка,1943-03-11,1943-08-25,50.30743182793,34.901558718752
4,Барвенково,1941-10-24,1942-01-23,48.906666666667,37.013055555556
5,Барвенково,1942-05-18,1943-02-06,48.906666666667,37.013055555556
6,Барвенково,1943-02-28,1943-09-10,48.906666666667,37.013055555556
7,Белгород,1941-10-24,1943-02-09,50.6,36.6
8,Белгород,1943-03-18,1943-08-05,50.6,36.6
9,Богодухов,1941-10-16,1943-02-17,50.16083,35.51639
10,Богодухов,1943-03-11,1943-08-07,50.16083,35.51639
11,Борщёв,1941-07-08,1944-03-23,48.802385274006,26.040006814608
12,Борщёв,1944-03-31,1944-04-06,48.802385274006,26.040006814608
13,Бучач,1941-07-05,1944-03-24,49.064791704796,25.387276171375
14,Бучач,1944-04-06,1944-07-21,49.064791704796,25.387276171375
15,Валки,1941-10-19,1943-02-25,49.5019,35.3718
16,Валки,1943-03-07,1943-09-16,49.5019,35.3718
17,Великие Луки,1941-07-19,1941-07-21,56.21,30.31
18,Великие Луки,1941-08-25,1943-01-17,56.21,30.31
19,Вилкавишкис,1941-06-22,1944-08-02,54.66667,23.03333
20,Вилкавишкис,1944-08-09,1944-08-17,54.66667,23.03333
21,Волчанск,1941-10-31,1941-11-12,50.1717,36.5646
22,Волчанск,1942-07-11,1943-02-09,50.1717,36.5646
23,Гадяч,1941-09-27,1943-02-26,50.371080026273,33.989054884479
24,Гадяч,1943-03-01,1943-09-11,50.371080026273,33.989054884479
25,Гайсин,1941-07-25,1943-11-18,48.80944,29.39056
26,Гайсин,1943-11-19,1944-03-14,48.80944,29.39056
27,Городенка,1941-07-05,1944-03-25,48.6675,25.50028
28,Городенка,1941-07-10,1943-12-24,48.6675,25.50028
29,Городенка,1941-06-30,1944-07-27,48.6675,25.50028
30,Горохов,1941-06-24,1944-04-02,50.2958,24.4554
31,Горохов,1944-04-06,1944-07-13,50.2958,24.4554
32,Горское,1942-07-11,1943-02-08,48.4431,38.2937
33,Горское,1943-03-03,1943-09-03,48.4431,38.2937
34,Грайворон,1941-10-19,1943-02-16,50.48333,35.66667
35,Грайворон,1943-03-13,1943-08-07,50.48333,35.66667
36,Дорогобуж,1941-10-05,1942-02-15,54.92,33.30778
37,Дорогобуж,1942-06-07,1943-09-01,54.92,33.30778
38,Дружковка,1941-10-26,1943-02-06,48.62028,37.52778
39,Дружковка,1943-02-09,1943-09-06,48.62028,37.52778
40,Ельня,1941-07-19,1941-09-06,54.56667,33.16667
41,Ельня,1941-10-06,1945-08-30,54.56667,33.16667
42,Житомир,1941-07-09,1943-11-12,50.25444,28.65778
43,Житомир,1943-11-19,1943-12-31,50.25444,28.65778
44,Жлобин,1941-07-03,1941-07-13,52.9,30.03333
45,Жлобин,1941-08-14,1944-06-26,52.9,30.03333
46,Керчь,1941-11-16,1941-12-30,45.33861,36.46806
47,Керчь,1942-05-15,1944-04-11,45.33861,36.46806
48,Коростень,1941-08-08,1943-11-17,50.95,28.65
49,Коростень,1943-11-27,1943-12-29,50.95,28.65
50,Коростышев,1941-07-09,1943-11-11,50.31861,29.05917
51,Коростышев,1943-11-20,1943-12-28,50.31861,29.05917
52,Краматорск,1941-10-27,1943-02-05,48.73778,37.58417
53,Краматорск,1943-02-27,1943-09-06,48.73778,37.58417
54,Красноармейск,1941-10-19,1943-02-11,56.0722,38.0846
55,Красноармейск,1943-02-20,1943-09-08,56.0722,38.0846
56,Кропоткин,1942-08-04,1943-01-28,45.26,40.34
57,Кропоткин,1941-06-29,1944-08-08,45.26,40.34
58,Лебедин,1941-10-10,1943-02-23,50.583054119944,34.482346384831
59,Лебедин,1943-03-10,1943-08-19,50.583054119944,34.482346384831
60,Лисичанск,1942-07-10,1943-02-06,48.91694,38.43056
61,Лисичанск,1943-03-03,1943-09-02,48.91694,38.43056
62,Лозовая,1941-10-11,1942-01-27,48.8892,36.3161
63,Лозовая,1942-05-23,1943-02-11,48.8892,36.3161
64,Лозовая,1943-03-01,1943-09-16,48.8892,36.3161
65,Люботин,1941-10-20,1943-02-22,49.948888888889,35.930555555556
66,Люботин,1943-03-09,1943-08-29,49.948888888889,35.930555555556
67,Людиново,1941-10-04,1942-01-09,53.86667,34.46667
68,Людиново,1942-01-17,1943-09-09,53.86667,34.46667
69,Мерефа,1941-10-21,1943-02-18,49.819722222222,36.068611111111
70,Мерефа,1943-03-13,1943-09-05,49.819722222222,36.068611111111
71,Монастыриска,1941-07-04,1944-03-26,49.08889,25.16944
72,Монастыриска,1944-04-06,1944-07-21,49.08889,25.16944
73,Надворная,1941-07-03,1944-03-29,48.63333,24.58333
74,Надворная,1944-04-18,1944-07-25,48.63333,24.58333
75,Павлоград,1941-10-11,1943-02-17,48.52,35.87
